,Unnamed: 0,Unnamed: 0.1,address,business type,city,lat,long,names,number of yelp reviews,yelp rating,zip
17,17,21.0,16990 Via Tazon,Breweries,San Diego,33.02385,-117.08575,Abnormal Beer Company,6.0,5.0,92127.0
18,18,22.0,2878 Columbia St,Breweries,Torrance,33.8431071994591,-118.337961758885,Absolution Brewing Company,283.0,4.0,90503.0
19,19,24.0,920-930 3rd St,Breweries,Napa,38.298787,-122.28285600000001,Stone Brewing - Napa,207.0,4.0,94559.0
20,20,25.0,28822 Old Town Front St,Breweries,Temecula,33.488408468246796,-117.14434683322901,Aftershock Brewing,182.0,4.5,92590.0
21,21,26.0,1716 Park St,Breweries,Alameda,37.7684402,-122.23886110000001,Alameda Island Brewing Company,303.0,4.5,94501.0
22,22,27.0,2004 Capitol Ave,Breweries,Sacramento,38.57312933,-121.481076,Alaro Craft Brewery,157.0,4.0,95811.0
23,23,28.0,3096 E 10th St,Breweries,Oakland,37.7761997597446,-122.22837645560499,Ale Industries,169.0,4.5,94601.0
24,24,29.0,9990 AleSmith Ct,Breweries,San Diego,32.8873241,-117.1493986,AleSmith Brewing Company,410.0,4.5,92126.0
25,25,30.0,10069 Bridge St,Breweries,Truckee,39.3292899,-120.1842621,Alibi Ale Works - Truckee Public House,118.0,4.5,96161.0
26,26,31.0,8680 Miralani Dr,Breweries,San Diego,32.89666,-117.13722,Align Brewing Company,17.0,4.5,92126.0
27,27,32.0,5120 E La Palma Ave,Breweries,Anaheim,33.8593551,-117.8062077,All-American Brew Works,95.0,4.5,92807.0
28,28,34.0,692 Arrow Grand Cir,Breweries,Covina,34.104594,-117.878892,Alosta Brewing Co,153.0,4.5,91722.0
29,29,35.0,137 S Linden Ave,Breweries,South San Francisco,37.644218,-122.413452,47 Hills Brewing Company,159.0,4.5,94080.0
30,30,36.0,2363 Alpine Blvd,Breweries,Alpine,32.835167,-116.76265500000001,Alpine Beer Company - Tasting Room,492.0,4.0,91901.0
31,31,37.0,1983 Julian Ave,Breweries,San Diego,32.70191,-117.14151000000001,Alta Brewing Co,27.0,4.5,92113.0
32,32,38.0,2402 Research Dr,Breweries,Livermore,37.67625,-121.72008999999998,Altamont Beer Works,209.0,4.5,94550.0
33,33,39.0,1315 Dayton St,Breweries,Salinas,36.64852495991821,-121.630899926443,Alvarado Street Brewery,58.0,4.5,93901.0
34,34,40.0,426 Alvarado St,Breweries,Monterey,36.599309999999996,-121.89492,Alvarado Street Brewery,1142.0,4.0,93940.0
35,35,41.0,9659 Main St,Breweries,Plymouth,38.481929799999996,-120.8450394,Amador Brewing Company,101.0,4.5,95669.0
36,36,42.0,4019 Atlantic Ave,Breweries,Long Beach,33.8312212708405,-118.185276762542,Ambitious Ales,71.0,5.0,90807.0
37,37,43.0,4150 Mission Blvd,Breweries,San Diego,32.7911417226722,-117.254326022115,Amplified Ale Works,861.0,4.0,92109.0
38,38,44.0,9030 Kenamar Dr,Breweries,San Diego,32.8873375,-117.1555986,Pure Project,630.0,4.5,92121.0
39,39,46.0,336 S Anaheim Blvd,Breweries,Anaheim,33.83262,-117.9125,Anaheim Brewery,299.0,4.0,92805.0
40,40,47.0,1705 Mariposa St,Breweries,San Francisco,37.76311,-122.40095,Anchor Brewing Company,690.0,5.0,94107.0
41,41,48.0,17700 Hwy 253,Breweries,Boonville,39.00137700000001,-123.35601899999999,Anderson Valley Brewing Company,228.0,4.0,95415.0
42,42,49.0,216 Alameda St,Breweries,Los Angeles,34.046536100000004,-118.2378194,Angel City Brewery,1747.0,4.0,90012.0
43,43,50.0,603 W Whittier Blvd,Breweries,Montebello,34.0095721,-118.10634209999999,Angry Horse Brewing,117.0,4.0,90640.0
44,44,51.0,1705 Mariposa St,Breweries,San Francisco,37.76311,-122.40095,Anchor Brewing Company,690.0,5.0,94107.0
45,45,52.0,5410 W San Fernando Rd,Breweries,Los Angeles,34.15064,-118.27445300000001,Golden Road Brewing,2296.0,4.0,90039.0
46,46,53.0,5621 Palmer Way,Breweries,Carlsbad,33.1401340721854,-117.273890042186,Arcana Brewing Company,94.0,4.5,92010.0
47,47,54.0,140 E Main St,Breweries,Tustin,33.7419509,-117.8231295,Centro,419.0,4.5,92780.0
48,48,55.0,845 Marina Bay Pkwy,Breweries,Richmond,37.91944179032279,-122.348262050401,Armistice Brewing Company,102.0,4.5,94804.0
49,49,56.0,415 Grand Ave,Breweries,South San Francisco,37.655788122793496,-122.41336302199899,Armstrong Brewing,134.0,4.5,94080.0
50,50,57.0,720 E Arrow Hwy,Breweries,Covina,34.1050635701011,-117.876500772228,Arrow Lodge Brewing,153.0,4.0,91722.0
51,51,58.0,919 Calle Amanecer,Breweries,San Clemente,33.448949,-117.6059392,Artifex Brewing Company,134.0,4.5,92673.0
52,52,60.0,4800 Florin Rd,Breweries,Sacramento,38.49552,-121.4492,Asian Brothers Brewing Company,17.0,4.0,95823.0
53,53,61.0,2970 E La Palma Ave,Breweries,Anaheim,33.84935,-117.86093999999999,Asylum Brewing,60.0,4.0,92806.0
54,54,62.0,1825 I St,Breweries,Sacramento,38.57853,-121.48095,At Ease Brewing,16.0,5.0,95811.0
55,55,66.0,2330 La Mirada Dr,Breweries,Vista,33.15014,-117.2298,Aztec Brewery,133.0,4.0,92081.0
56,56,68.0,1884 S Santa Cruz St,Breweries,Anaheim,33.800600700000004,-117.89592659999998,Backstreet Brewery,186.0,4.5,92805.0
57,57,69.0,601 S Coast Hwy,Breweries,Oceanside,33.18923,-117.37426,Bagby Beer Company,1110.0,4.0,92054.0
58,58,70.0,5401 Linda Vista Rd,Breweries,San Diego,32.7667841646776,-117.195239067078,Home Brew Mart - Ballast Point,447.0,4.0,92110.0
59,59,73.0,110 N Marina Dr,Breweries,Long Beach,33.745914275676796,-118.11454537068998,Ballast Point Long Beach,2212.0,3.5,90803.0
60,60,74.0,1540 S Disneyland Dr,Breweries,Anaheim,33.8086987,-117.92386509999999,Ballast Point Anaheim,359.0,3.0,92802.0
61,61,75.0,2215 India St,Breweries,San Diego,32.7275213525988,-117.169813710335,Ballast Point Little Italy,1765.0,4.5,92101.0
62,62,76.0,280 14th St,Breweries,San Francisco,37.76849,-122.41949,Standard Deviant Brewing,128.0,4.5,94103.0
63,63,77.0,950 Orcutt Rd,Breweries,San Luis Obispo,35.2615061118719,-120.645814444223,Bang The Drum Brewery,116.0,4.0,93401.0
64,64,78.0,1525 Cortland Ave,Breweries,San Francisco,37.740085601806605,-122.409004211426,Barebottle Brewing Company,360.0,4.5,94110.0
65,65,79.0,2957 Randolph Ave,Breweries,Costa Mesa,33.678779999999996,-117.88821999999999,Barley Forge Brewing,714.0,4.5,92626.0
66,66,80.0,3782 Winding Creek Ln,Breweries,Garden Valley,38.84013,-120.87858999999999,BarmHaus Brewing,5.0,4.5,95633.0
67,67,82.0,980 Park Center Dr,Breweries,Vista,33.1449653992113,-117.22874231176,Belching Beaver Pub980,423.0,4.5,92081.0
68,68,83.0,1785 Fulton St,Breweries,San Francisco,37.7757521780078,-122.446032238623,Barrel Head Brewhouse,515.0,4.0,94117.0
69,69,84.0,3055 Limestone Way,Breweries,Paso Robles,35.5761140843024,-120.69110503068899,BarrelHouse Brewing Co,324.0,4.5,93446.0
70,70,85.0,242 O'Farrell St,Breweries,San Francisco,37.786377918305504,-122.408723160625,Bartlett Hall,810.0,3.5,94102.0
71,71,86.0,2870 Scott St,Breweries,Vista,33.1401786804199,-117.22761535644501,BattleMage Brewing Company,92.0,5.0,92081.0
72,72,87.0,688 Marsat Ct,Breweries,Chula Vista,32.6009521,-117.082695,Bay Bridge Brewing,54.0,4.5,91911.0
73,73,88.0,3760 Hancock St,Breweries,San Diego,32.7582184091936,-117.21175875769698,Bay City Brewing Company,128.0,4.5,92110.0
74,74,89.0,1000 Great Hwy,Breweries,San Francisco,37.7694983928195,-122.51020071282801,Park Chalet Coastal Beer Garden,1296.0,3.0,94121.0
75,75,90.0,1280 Activity Dr,Breweries,Vista,33.14185,-117.2194,Beach Grease Beer Company,34.0,4.5,92081.0
76,76,92.0,247 N Long Beach Blvd,Breweries,Long Beach,33.77025,-118.18975,Beachwood Blendery,79.0,4.5,90802.0
77,77,93.0,7631 Woodwind Dr,Breweries,Huntington Beach,33.7043188616381,-117.995439532022,Beachwood Brewing Taproom,55.0,4.5,92647.0
78,78,99.0,3000 Fulkerth Rd,Breweries,Turlock,37.50673791211271,-120.88276255952499,Dust Bowl Brewery Taproom,648.0,3.5,95380.0
79,79,100.0,1334 Rocky Point Dr,Breweries,Oceanside,33.212525189701,-117.291587032378,Belching Beaver Brewery - Oceanside,71.0,4.0,92056.0
80,80,101.0,302 E Broadway,Breweries,Vista,33.2021,-117.24113,Belching Beaver Brewery Tavern & Grill,659.0,4.0,92084.0
81,81,102.0,980 Park Center Dr,Breweries,Vista,33.1449653992113,-117.22874231176,Belching Beaver Pub980,423.0,4.5,92081.0
82,82,103.0,25 39th Pl,Breweries,Long Beach,33.759361,-118.148117,Belmont Brewing,1480.0,3.5,90803.0
83,83,104.0,1201 Pennsylvania Ave,Breweries,Richmond,37.942409999999995,-122.35796,Benoit-Casper Brewing,22.0,4.5,94801.0
84,84,105.0,27260 Hwy 128,Breweries,Winters,38.5146895206581,-122.002428792971,Berryessa Brewing Company,164.0,4.5,95694.0
85,85,106.0,40827 Stone Rd,Breweries,Big Bear Lake,34.242515999999995,-116.91100800000001,Big Bear Lake Brewing Company,1421.0,3.5,92315.0
86,86,108.0,241 Main St,Breweries,Bridgeport,38.2556930722912,-119.22770172357599,Big Meadow Brewing,17.0,5.0,93517.0
87,87,109.0,5861 88th St,Breweries,Sacramento,38.5201,-121.37518999999999,Big Sexy Brewing Company,64.0,4.5,95828.0
88,88,110.0,1716 L St,Breweries,Sacramento,38.575238725568,-121.484233910877,Big Stump Brew Company,142.0,4.5,95811.0
89,89,111.0,2534 Industrial Blvd,Breweries,West Sacramento,38.566263,-121.54351799999999,Bike Dog Brewing Co,203.0,4.5,95691.0
90,90,112.0,242 Heinlen St,Breweries,Lemoore,36.30155,-119.78457,Bird Street Brewing,7.0,4.5,93245.0
91,91,114.0,4170 Morena Blvd,Breweries,San Diego,32.8158975404079,-117.220202386379,Bitter Brothers Brewing,88.0,4.5,92117.0
92,92,117.0,1444 N Batavia St,Breweries,Orange,33.81136420000001,-117.86257490000001,Black Cock Brewing Company,263.0,4.0,92867.0
93,93,118.0,452 Old Mammoth Rd,Breweries,Mammoth Lakes,37.639379999999996,-118.96723999999999,Black Doubt Brewing Company,135.0,5.0,93546.0
94,94,119.0,508 Center St,Breweries,Taft,35.1412097,-119.4594135,Black Gold Brewing Company,58.0,4.0,93268.0
95,95,120.0,544 Bryant St,Breweries,San Francisco,37.7807,-122.39701000000001,Black Hammer Brewing,314.0,4.5,94107.0
96,96,121.0,41740 Enterprise Cir N,Breweries,Temecula,33.51854,-117.16958999999999,Black Market Brewing Co. - Temecula,273.0,4.0,92590.0
97,97,122.0,2550 Jason Ct,Breweries,Oceanside,33.21564,-117.2668,BLACK PLAGUE Brewing,137.0,4.5,92056.0
98,98,123.0,1063 Montclaire Dr,Breweries,Ceres,37.5764710901148,-120.980194483906,Blaker Brewing,52.0,4.5,95307.0
99,99,124.0,1052 Horizon Dr,Breweries,Fairfield,38.273647,-122.015358,Heretic Brewing Company,261.0,4.5,94533.0
100,100,125.0,750 Dead Cat Aly,Breweries,Woodland,38.6779499,-121.7712086,Blue Note Brewing Company,88.0,4.5,95695.0
101,101,126.0,815 Cherry Ln,Breweries,San Carlos,37.510186,-122.25304399999999,Blue Oak Brewing Company,64.0,4.5,94070.0
102,102,127.0,10960 Wheatlands Ave,Breweries,Santee,32.84666,-116.95833999999999,BNS Brewing & Distilling,151.0,4.0,92071.0
103,103,128.0,8179 Center St,Breweries,La Mesa,32.7719692578383,-117.020541742427,Bolt Brewery,232.0,4.5,91942.0
104,104,129.0,404 S Figueroa St,Breweries,Los Angeles,34.05256,-118.25601,Bonaventure Brewing Company,387.0,3.0,90071.0
105,105,130.0,700 Jackson St,Breweries,Los Angeles,34.05081,-118.23311000000001,Boomtown Brewery,354.0,4.5,90012.0
106,106,131.0,130 S Highland Ave,Breweries,Fullerton,33.86963,-117.92845,Bootlegger's Brewery,762.0,4.0,92832.0
107,107,132.0,130 S Highland Ave,Breweries,Fullerton,33.86963,-117.92845,Bootlegger's Brewery,762.0,4.0,92832.0
108,108,133.0,696 Randolph Ave,Breweries,Costa Mesa,33.6768478,-117.8855811,Bootlegger's Brewery - Costa Mesa,52.0,4.5,92626.0
109,109,134.0,1315 Research Dr,Breweries,Redlands,34.070577933484394,-117.23702788353,Ritual Brewing,237.0,4.5,92374.0
110,110,135.0,2545 Progress St,Breweries,Vista,33.148171999999995,-117.218047,Booze Brothers Brewing,242.0,4.5,92081.0
111,111,137.0,2181 Logan Ave,Breweries,San Diego,32.698029999999996,-117.13983,Border X Brewing,285.0,4.5,92113.0
112,112,138.0,2181 Logan Ave,Breweries,San Diego,32.698029999999996,-117.13983,Border X Brewing,285.0,4.5,92113.0
113,113,139.0,1072 N Armando St,Breweries,Anaheim,33.849548999999996,-117.859775,Bottle Logic Brewing,705.0,4.5,92806.0
114,114,140.0,42705 8th St W,Breweries,Lancaster,34.658707,-118.14599799999999,Bravery Brewing,139.0,4.5,93534.0
115,115,141.0,101 N Coast Hwy,Breweries,Oceanside,33.1950701,-117.37905009999999,Breakwater Brewing Company,558.0,4.0,92054.0
116,116,149.0,29851 Aventura D,Breweries,Rancho Santa Margarita,33.63661,-117.60958000000001,Laguna Beach Beer Company - Rancho Santa Margarita,112.0,4.5,92688.0
117,117,151.0,1031 W Manchester Blvd,Breweries,Inglewood,33.9615419494809,-118.37475748891701,Three Weavers Brewing Co,346.0,4.5,90301.0
118,118,153.0,9175 Union Park Way,Breweries,Elk Grove,38.3891154,-121.3606571,Tilted Mash Brewing,112.0,4.5,95624.0
119,119,154.0,14741 Calvert St,Breweries,Van Nuys,34.181940000000004,-118.45458,MacLeod Ale Brewing,381.0,4.5,91411.0
120,120,155.0,701 Escobar St,Breweries,Martinez,38.0183247,-122.1368987,Del Cielo Brewing Company,95.0,4.0,94553.0
121,121,158.0,123 N Cypress St,Breweries,Orange,33.7886085601538,-117.85607218402399,Chapman Crafted Beer,124.0,4.5,92866.0
122,122,159.0,9757 7th St,Breweries,Rancho Cucamonga,34.0880476219532,-117.591965138057,Hamilton Family Brewery,308.0,4.5,91730.0
123,123,163.0,27260 Hwy 128,Breweries,Winters,38.5146895206581,-122.002428792971,Berryessa Brewing Company,164.0,4.5,95694.0
124,124,164.0,106 3rd St,Breweries,San Juan Bautista,36.84395900000001,-121.535381,Brewery Twenty Five,10.0,5.0,95045.0
125,125,165.0,1931 E Wright Cir,Breweries,Anaheim,33.8052760148,-117.890690248626,Brewheim Beer Makers,99.0,4.5,92806.0
126,126,167.0,2930 College Ave,Breweries,Costa Mesa,33.67919000000001,-117.91605,Brewing Reserve of California,21.0,4.5,92626.0
127,127,169.0,4191 Carpinteria Ave,Breweries,Carpinteria,34.4039078,-119.53413390000001,brewLAB,44.0,4.5,93013.0
128,128,171.0,110 E 22nd St,Breweries,San Pedro,33.7257694,-118.28027820000001,Brouwerij West,296.0,4.5,90731.0
129,129,172.0,1174 N Grove St,Breweries,Anaheim,33.857504799999994,-117.84213340000001,Bruery Terreux Tasting Room,231.0,4.5,92806.0
130,130,173.0,717 Dunn Way,Breweries,Placentia,33.8624287319832,-117.879275106287,The Bruery,957.0,4.5,92870.0
131,131,175.0,6350 Yarrow Dr,Breweries,Carlsbad,33.1195646952615,-117.273261845112,Burgeon Beer Co,155.0,4.5,92011.0
132,132,176.0,24516 Narbonne Ave,Breweries,Lomita,33.8029046036583,-118.31973709166,Burnin Daylight Brewing,46.0,4.5,90717.0
133,133,177.0,11210 Sun Center Dr,Breweries,Rancho Cordova,38.597688899999994,-121.266995,Burning Barrel Brewing Company,74.0,4.5,95742.0
134,134,178.0,785 Vernon Way,Breweries,El Cajon,32.811747763052104,-116.972286134148,Burning Beard Brewing Company,106.0,4.5,92020.0
135,135,180.0,2501 Monarch St,Breweries,Alameda,37.786577,-122.309303,Faction Brewing,482.0,4.5,94501.0
136,136,182.0,4202 Sorrento Valley Blvd,Breweries,San Diego,32.905359999999995,-117.21485,California Wild Ales,31.0,5.0,92121.0
137,137,183.0,200 E Campbell Ave,Breweries,Campbell,37.28667,-121.94639,Campbell Brewing Company,402.0,2.5,95008.0
138,138,187.0,6489 Calle Real,Breweries,Goleta,34.439349,-119.85161699999999,Captain Fatty's Brewery,79.0,4.5,93117.0
139,139,188.0,Big Sur Barn 3777 The Barnyard,Breweries,Carmel-by-the-Sea,36.540492799999996,-121.90779380000001,Carmel Craft Brewing Company,19.0,5.0,93923.0
140,140,190.0,701 N Del Norte Blvd,Breweries,Oxnard,34.207699,-119.12803500000001,Casa Agria Specialty Ales,77.0,4.5,93030.0
141,141,191.0,417 Crescent Ave,Breweries,Avalon,33.3434322362233,-118.32550618797501,Catalina Island Brew House,262.0,4.5,90704.0
142,142,194.0,1150 Howard St,Breweries,San Francisco,37.777217,-122.410766,Cellarmaker Brewing Company,434.0,4.5,94103.0
143,143,195.0,1422 Monterey St,Breweries,San Luis Obispo,35.285846,-120.65571100000001,Central Coast Brewing,235.0,4.5,93401.0
144,144,197.0,110 N San Joaquin St,Breweries,Stockton,37.954521,-121.28730390000001,Channel Brewing Company,40.0,4.0,95202.0
145,145,198.0,123 N Cypress St,Breweries,Orange,33.7886085601538,-117.85607218402399,Chapman Crafted Beer,124.0,4.5,92866.0
146,146,199.0,130 S Highland Ave,Breweries,Fullerton,33.86963,-117.92845,Bootlegger's Brewery,762.0,4.0,92832.0
147,147,200.0,1609 S Grove Ave,Breweries,Ontario,34.0443303,-117.62728510000001,Chino Valley Brewery,50.0,4.5,91761.0
148,148,201.0,294 3rd Ave,Breweries,Chula Vista,32.641634049518,-117.080261819065,Chula Vista Brewery,76.0,4.0,91910.0
149,149,202.0,7292 Opportunity Rd,Breweries,San Diego,32.8254665,-117.160549,Circle 9 Brewing,50.0,4.5,92111.0
150,150,203.0,1409 E Warner Ave,Breweries,Santa Ana,33.71638,-117.85177,Cismontane Brewing Company,119.0,4.0,92688.0
151,151,204.0,5837 Mission Gorge Rd,Breweries,San Diego,32.7815593,-117.1008159,Citizen Brewers,17.0,5.0,92120.0
152,152,206.0,11366 Monier Park Pl,Breweries,Rancho Cordova,38.58213,-121.26083,Claimstake Brewing,115.0,4.5,95742.0
153,153,207.0,980 S First St,Breweries,San Jose,37.32158,-121.87872,Clandestine Brewing,66.0,4.5,95110.0
154,154,209.0,448 Hester St,Breweries,San Leandro,37.722181899999995,-122.19129720000001,Cleophus Quealy,132.0,4.5,94577.0
155,155,210.0,30640 Gunther St,Breweries,Thousand Palms,33.826594,-116.40140500000001,Coachella Valley Brewing,156.0,4.0,92276.0
156,156,212.0,3411 W El Segundo Blvd,Breweries,Hawthorne,33.91695,-118.33343,Common Space Brewery,105.0,4.5,90250.0
157,157,215.0,5401 Linda Vista Rd,Breweries,San Diego,32.7667841646776,-117.195239067078,Home Brew Mart - Ballast Point,447.0,4.0,92110.0
158,158,217.0,981 Airway Ct,Breweries,Santa Rosa,38.475266999999995,-122.735473,Cooperage Brewing Company,139.0,4.5,95403.0
159,159,218.0,875 Seacoast Dr,Breweries,Imperial Beach,32.5805081,-117.13159509999998,Coronado Brewing Company,386.0,4.0,91932.0
160,160,220.0,875 Seacoast Dr,Breweries,Imperial Beach,32.5805081,-117.13159509999998,Coronado Brewing Company,386.0,4.0,91932.0
161,161,221.0,2536 Freedom Blvd,Breweries,Watsonville,36.9499719616272,-121.79299999999999,Corralitos Brewing Company,75.0,4.5,95076.0
162,162,222.0,20316 Gramercy Pl,Breweries,Torrance,33.8462782792757,-118.311399109662,Cosmic Brewery,111.0,4.0,90501.0
163,163,223.0,530 Crane St,Breweries,Lake Elsinore,33.68678,-117.33991,Craft Brewing Company - Lake Elsinore,103.0,4.5,92530.0
164,164,224.0,1260 Lincoln Ave,Breweries,Pasadena,34.167704799999996,-118.1594351,Craftsman Brewing Company,39.0,4.5,91103.0
165,165,227.0,536 Grass Valley Hwy,Breweries,Auburn,38.9094390869141,-121.07639312744101,Crooked Lane Brewing,136.0,4.5,95603.0
166,166,229.0,111 S Cedros Ave,Breweries,Solana Beach,32.991593300000005,-117.27070020000001,Culture Brewing Co - Solana Beach,324.0,4.5,92075.0
167,167,230.0,2719 W Loker Ave,Breweries,Carlsbad,33.132640838623,-117.258399963379,Culver Beer Company,88.0,5.0,92010.0
168,168,233.0,5925 Entrada Ave,Breweries,Atascadero,35.4897422240214,-120.668791000333,Dead Oak Brewing Company,34.0,4.5,93422.0
169,169,234.0,102 Old Spanish Trl,Breweries,Tecopa,35.8481865575728,-116.22652608968399,Death Valley Brewery,12.0,4.5,92389.0
170,170,235.0,5328 Banks St,Breweries,San Diego,32.764359999999996,-117.19906,Deft Brewing,71.0,5.0,92110.0
171,171,236.0,701 Escobar St,Breweries,Martinez,38.0183247,-122.1368987,Del Cielo Brewing Company,95.0,4.0,94553.0
172,172,237.0,11626 Sterling Ave,Breweries,Riverside,33.895437,-117.48488600000002,Brew Crew,56.0,4.5,92503.0
173,173,241.0,935 Washington St,Breweries,San Carlos,37.498509999999996,-122.24381000000001,Devil's Canyon Brewing Company,161.0,4.0,94070.0
174,174,243.0,3200 Buck Owens Blvd,Breweries,Bakersfield,35.38877,-119.04222,Temblor Brewing Company,536.0,4.0,93308.0
175,175,244.0,2703 41st Ave,Breweries,Soquel,36.985671823223,-121.965471541734,Discretion Brewing,334.0,4.0,95073.0
176,176,245.0,1072 N Armando St,Breweries,Anaheim,33.849548999999996,-117.859775,Bottle Logic Brewing,705.0,4.5,92806.0
177,177,246.0,1802 Telegraph Ave,Breweries,Oakland,37.8075774,-122.269898,Diving Dog Brewhouse,150.0,4.0,94612.0
178,178,247.0,7408 Trade St,Breweries,San Diego,32.89034,-117.1629,Division 23 Brewing,77.0,4.5,92121.0
179,179,248.0,33049 Calle Aviador,Breweries,San Juan Capistrano,33.4832845703319,-117.675834089688,Docent Brewing,283.0,4.5,92675.0
180,180,249.0,1241 Linda Vista Dr,Breweries,San Marcos,33.137111,-117.1937063,Dos Desperados Brewery,90.0,4.5,92078.0
181,181,250.0,1784 La Costa Meadows Dr,Breweries,San Marcos,33.104716818677105,-117.21922906931101,Stumblefoot Brewing Company,108.0,4.0,92078.0
182,182,251.0,902 Main St,Breweries,Napa,38.29878,-122.2848,Downtown Joe's Brewery and Restaurant,827.0,3.5,94559.0
183,183,253.0,8920 Vernon Ave,Breweries,Montclair,34.0915069515807,-117.68697515129999,Dragon's Tale Brewery,72.0,4.5,91763.0
184,184,254.0,1933 Davis St,Breweries,San Leandro,37.714717957836,-122.179304977019,Drake's Brewing,720.0,4.0,94577.0
185,185,255.0,53 Santa Felicia Dr,Breweries,Goleta,34.4322514490143,-119.876084318148,Draughtsmen Aleworks,69.0,5.0,93117.0
186,186,256.0,2501 W Taron Ct,Breweries,Elk Grove,38.4074,-121.47783999999999,Dreaming Dog Brewery,57.0,3.5,95757.0
187,187,257.0,671 S Anderson St,Breweries,Los Angeles,34.0358940506486,-118.223494067788,Dry River Brewing,58.0,4.0,90023.0
188,188,259.0,8920 Kenamar Dr,Breweries,San Diego,32.885171,-117.15632,Duck Foot Brewing Company,234.0,4.5,92121.0
189,189,260.0,1840 W 208th St,Breweries,Torrance,33.84163,-118.31138,The Dudes' Brewing Company,343.0,4.0,90501.0
190,190,261.0,536 Grass Valley Hwy,Breweries,Auburn,38.9094390869141,-121.07639312744101,Crooked Lane Brewing,136.0,4.5,95603.0
191,191,263.0,5701 Dunsmuir Ave,Breweries,Dunsmuir,41.21195,-122.2718,Dunsmuir Brewery Works,296.0,4.5,96025.0
192,192,264.0,3000 Fulkerth Rd,Breweries,Turlock,37.50673791211271,-120.88276255952499,Dust Bowl Brewery Taproom,648.0,3.5,95380.0
193,193,265.0,4244 Atlantic Ave,Breweries,Long Beach,33.833587,-118.184716,Dutch's Brewhouse,228.0,5.0,90807.0
194,194,267.0,300 Cumberland St,Breweries,Pittsburg,38.03302,-121.88251000000001,E.J. Phair Brewing Company,227.0,4.0,94565.0
195,195,268.0,3056 Roswell St,Breweries,Los Angeles,34.114940000000004,-118.24333999999999,Eagle Rock Brewery,414.0,4.5,90065.0
196,196,269.0,825 Riverside Ave,Breweries,Paso Robles,35.6237523765772,-120.68678051233299,Earth and Fire Brewing Company,55.0,4.5,93446.0
197,197,270.0,1001 Canal Blvd,Breweries,Richmond,37.917575836181605,-122.37537384033199,East Brother Beer Company,96.0,4.5,94804.0
198,198,271.0,21517 E Cliff Dr,Breweries,Santa Cruz,36.9645273947767,-121.98924578726299,East Cliff Brewing Company,64.0,4.5,95062.0
199,199,272.0,2449 Cades Way,Breweries,Vista,33.1537179242772,-117.22401648759799,Ebullition Brew Works,49.0,4.5,92081.0
200,200,274.0,550 S G St,Breweries,Arcata,40.85693,-124.08856999999999,Redwood Curtain Brewing Company,152.0,4.5,95521.0
201,201,275.0,332 Earhart Way,Breweries,Livermore,37.698987,-121.812568,Eight Bridges Brewing,108.0,4.0,94551.0
202,202,277.0,2222 Francisco Dr,Breweries,El Dorado Hills,38.710145314471,-121.08619962631599,Mraz Brewing Company,99.0,4.0,95762.0
